movieId,tmdbId,budget,revenue,runtime,popularity,vote_average,vote_count,release_date,original_language,status
1,862,30000000,962301978,81,44.9054,7.989,20548,1995-11-22,en,Released
2,8844,65000000,262821940,104,5.694,7.249,11574,1995-12-15,en,Released
3,15602,25000000,71518503,101,4.9647,6.466,444,1995-12-22,en,Released
4,31357,16000000,81452156,127,5.3558,6.2,213,1995-12-22,en,Released
5,11862,0,76594107,106,8.3466,6.272,839,1995-12-08,en,Released
6,949,60000000,187400000,170,30.2941,7.944,8700,1995-12-15,en,Released
7,11860,58000000,53672080,127,6.3942,6.206,715,1995-12-15,en,Released
8,45325,0,23920048,97,3.6406,5.308,221,1995-12-22,en,Released
9,9091,35000000,64350171,111,9.311,6.041,843,1995-10-27,en,Released
10,710,60000000,352194034,130,16.0379,6.905,4484,1995-11-16,en,Released
11,9087,62000000,107879496,113,5.0913,6.527,810,1995-11-17,en,Released
12,12110,30000000,10772144,88,5.8398,6.065,1148,1995-12-22,en,Released
13,21032,31000000,11348324,78,7.9397,7.339,2259,1995-12-22,en,Released
14,10858,44000000,13681765,192,6.2257,6.813,412,1995-12-22,en,Released
15,1408,102000000,16000000,124,8.2917,5.802,648,1995-12-22,en,Released
16,524,50000000,116112375,179,16.7635,8.0,6741,1995-11-22,en,Released
17,4584,16000000,134582776,136,18.26,7.412,1893,1995-12-13,en,Released
18,5,4000000,4257354,98,8.7064,5.919,2906,1995-12-09,en,Released
19,9273,30000000,212385533,90,12.8573,6.345,4710,1995-11-10,en,Released
20,11517,68000000,77224232,110,9.7243,5.874,899,1995-11-21,en,Released
21,8012,30250000,115101622,105,8.5194,6.5,1253,1995-10-20,en,Released
22,1710,20000000,32000000,124,9.3202,6.483,1349,1995-10-27,en,Released
23,9691,50000000,30303072,132,10.1252,6.494,1780,1995-10-06,en,Released
24,12665,9500000,30900000,112,6.2782,7.06,758,1995-10-27,en,Released
25,451,3600000,49800000,111,10.8796,7.25,1715,1995-10-27,en,Released
26,16420,11000000,2800000,123,2.5761,6.356,153,1995-12-15,en,Released
